personne,s,v,e,date,Jerk_rot,Reduced_state,Neck_local_var,Jerk_pos,Hip_local_var,transition,Hip_roll,Right_hand,Neck_roll,Left_foot,Y,X,Roll_correl,Left_hand,Afford_count,Right_foot
P01,S1,V3,E3,21032014,2339490884636358.5,[2. 4. 4. ... 4. 4. 4.],[0.01952084 0.01953573 0.01955009 ... 0.00979105 0.0097468  0.00970179],143165495894988.84,[0.07984895 0.07977669 0.0796788  ... 0.00306073 0.0030597  0.00305835],"[[ 0.  2.  8. 10. 14.]
 [ 0.  0.  7.  0.  0.]
 [11.  5.  0.  0.  1.]
 [ 9.  0.  0.  0.  3.]
 [14.  0.  1.  2.  0.]]","[-0.43984236 -0.45351887 -0.4658851  ...  0.53805006  0.53709036
  0.53666906]",[0. 0. 0. ... 1. 1. 1.],"[-0.0133556  -0.01638356 -0.02034057 ...  0.46945018  0.46619359
  0.4627863 ]",[1. 1. 1. ... 0. 0. 0.],"[ 10.00003957  10.00006436   9.9999306  ... 928.37516972 928.45984852
 928.54840215]","[-12.9999788  -12.99999256 -13.00001463 ... 268.5070227  268.22431737
 267.93343233]",[0.68264832 0.68347318 0.68430791 ... 0.65525429 0.6547862  0.65427032],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 3. 3. 3.],[0. 0. 0. ... 1. 1. 1.]
P10,S1,V4,E4,02042014,420990026331711.2,[0. 0. 0. ... 4. 4. 4.],[0.01278879 0.01280968 0.0128243  ... 0.00448424 0.00455564 0.00463443],22858782200627.99,[0.03362121 0.03342602 0.03323388 ... 0.00646313 0.00680776 0.00718396],"[[ 0.  0.  1.  0.  1.]
 [ 0.  0. 16.  0.  0.]
 [ 1. 16.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.]]","[ 1.19728104  1.19312093  1.18816816 ... -0.45400912 -0.43500938
 -0.41636095]",[0. 0. 0. ... 0. 0. 0.],"[ 0.25983709  0.26275645  0.26688269 ... -0.41333329 -0.40460402
 -0.39543763]",[0. 0. 0. ... 1. 1. 1.],"[ 22.00003259  22.00000204  21.99827117 ... 993.04146702 993.10507609
 993.15526838]","[ 49.00001777  49.000036    48.99996    ... 272.73644635 273.08693968
 273.42247435]",[0.53846327 0.5386744  0.53870858 ... 0.86507809 0.86507083 0.86536399],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P02,S1,V1,E1,28032014,1948354639929390.0,[0. 0. 0. ... 4. 4. 4.],[0.02608747 0.026089   0.02608934 ... 0.04885185 0.04862378 0.04839811],148673444609553.06,[0.01174903 0.01189881 0.0120453  ... 0.05215222 0.05180998 0.05146995],"[[ 0.  0. 14. 15.  6.]
 [ 2.  0.  9.  0.  0.]
 [12. 11.  0.  0.  0.]
 [15.  0.  0.  0.  1.]
 [ 5.  0.  0.  1.  0.]]","[ 0.33063195  0.3355594   0.33977647 ... -0.1773923  -0.18688128
 -0.19699466]",[0. 0. 0. ... 1. 1. 1.],"[ 0.66238934  0.66809937  0.67492758 ... -0.04744902 -0.04554545
 -0.04467156]",[0. 0. 0. ... 0. 0. 0.],"[-35.99997171 -35.99992763 -36.0000727  ... 939.31041726 939.51159601
 939.6963297 ]","[ -0.99998645  -0.99991073  -0.99847205 ... 276.05656478 275.75797523
 275.46344065]","[ 0.66324621  0.66025265  0.65723984 ... -0.33982447 -0.34861778
 -0.35733159]",[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P08,S1,V4,E3,13062014,611551389293025.6,[0. 0. 0. ... 0. 0. 0.],[0.0457921  0.04543642 0.04508502 ... 0.24444226 0.24463066 0.24478705],26836983585001.24,[0.00592976 0.00588348 0.00584385 ... 0.36071037 0.36467286 0.36863472],"[[ 0.  2.  5.  3.  2.]
 [ 1.  0. 10.  0.  0.]
 [ 7.  8.  0.  0.  0.]
 [ 3.  0.  0.  0.  0.]
 [ 1.  1.  0.  0.  0.]]",[0.97121402 0.98285048 0.99457674 ... 0.87856781 0.88211364 0.88505086],[0. 0. 0. ... 0. 0. 0.],"[ 0.46905702  0.47244304  0.47695932 ... -0.04002108 -0.04974271
 -0.05964969]",[0. 0. 0. ... 0. 0. 0.],"[  3.00003652   3.00007282   2.99991561 ... 886.06185099 886.24359153
 886.43880883]","[ 58.00001988  58.00011808  58.00157679 ... 300.93855874 301.0301797
 301.0969686 ]",[0.17903659 0.17258075 0.16654285 ... 0.80864426 0.80883584 0.8089664 ],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
P10,S1,V1,E1,02042014,1604367015618789.0,[0. 4. 4. ... 4. 4. 4.],[0.02446798 0.02438434 0.02430051 ... 0.00056802 0.00056619 0.00056518],92895952930729.5,[0.07750848 0.07708027 0.0766549  ... 0.01971857 0.01972079 0.01972354],"[[ 0.  2.  6.  8.  7.]
 [ 2.  0. 11.  0.  0.]
 [ 7. 11.  0.  0.  0.]
 [ 8.  0.  0.  0.  0.]
 [ 5.  0.  1.  0.  0.]]",[0.885159   0.88238414 0.87945808 ... 0.62872392 0.63090717 0.63393394],[0. 0. 0. ... 0. 0. 0.],"[ 0.32264856  0.32197684  0.32085365 ... -0.21280407 -0.20877912
 -0.20477708]",[1. 1. 1. ... 0. 0. 0.],"[ 16.0000236   15.99999826  15.99830559 ... 983.82659479 983.92666961
 984.03110575]","[ 41.00000271  41.00002588  40.99997183 ... 272.15132975 272.07589558
 272.01542827]",[0.61316999 0.61132469 0.60946714 ... 0.34281618 0.34214084 0.34181103],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 1. 1. 1.],[0. 0. 0. ... 0. 0. 0.]
P24,S1,V3,E3,28032014,587735026910308.9,[0. 0. 0. ... 4. 4. 4.],[0.05546093 0.05595626 0.05644694 ... 0.01535525 0.0153926  0.01541777],60197959016251.86,[0.00881971 0.00893565 0.00904758 ... 0.02915485 0.02901832 0.02888837],"[[ 0.  3.  6.  8. 11.]
 [ 0.  0. 10.  0.  0.]
 [ 9.  7.  0.  0.  0.]
 [ 8.  0.  0.  0.  0.]
 [10.  0.  0.  0.  0.]]",[0.2307056  0.23158145 0.23244277 ... 0.05769195 0.06154161 0.06566988],[0. 0. 0. ... 0. 0. 0.],"[-0.11050567 -0.1119553  -0.11363674 ... -0.18297914 -0.16675654
 -0.14747665]",[0. 0. 0. ... 1. 1. 1.],"[  2.00002444   2.00002492   1.99997082 ... 290.35194906 291.021587
 291.77788545]","[-22.99997781 -22.99999158 -23.00000501 ... 285.00095504 285.1446608
 285.27132256]","[ 0.80113624  0.80414978  0.80712776 ... -0.25039985 -0.24783009
 -0.24535875]",[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 3. 3. 3.],[0. 0. 0. ... 1. 1. 1.]
P08,S1,V1,E1,13062014,1852012521156284.0,[0. 0. 0. ... 0. 0. 0.],[0.04702559 0.04699012 0.04695274 ... 0.03133292 0.03161318 0.03188579],83386289788918.64,[0.00083724 0.00080005 0.00076604 ... 0.1761223  0.17625838 0.17638126],"[[ 0.  0.  5.  4.  3.]
 [ 0.  0. 17.  0.  0.]
 [ 5. 17.  0.  0.  0.]
 [ 5.  0.  0.  0.  0.]
 [ 2.  0.  0.  1.  0.]]",[1.01430485 1.0205038  1.02775935 ... 0.20458902 0.20048213 0.19662314],[0. 0. 0. ... 0. 0. 0.],[0.65884494 0.65984408 0.66121035 ... 0.30048552 0.29644493 0.29266534],[0. 0. 0. ... 0. 0. 0.],"[  2.0000196    2.00007479   1.99992319 ... 968.63758197 968.32759688
 967.96738978]","[ 44.00000223  44.00016352  44.00308083 ... 310.44095087 310.85070896
 311.23605049]","[ 0.00890645 -0.0039886  -0.01690523 ...  0.80243544  0.80324993
  0.80404284]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
P29,S1,V4,E3,04042014,7.91676490295663e+16,[0. 4. 4. ... 4. 4. 4.],[0.01685298 0.01680871 0.01676358 ... 0.01631272 0.01634772 0.01637824],5728306311659745.0,[0.03912792 0.0390078  0.03888961 ... 0.06387959 0.06374775 0.06361655],"[[ 0.  5. 18. 15. 16.]
 [ 7.  0. 17.  0.  0.]
 [15. 19.  0.  0.  1.]
 [15.  0.  0.  0.  0.]
 [16.  0.  0.  0.  0.]]","[-0.94061534 -0.93849927 -0.93671313 ...  0.10567053  0.11128313
  0.11602865]",[0. 0. 0. ... 0. 0. 0.],"[-0.58211748 -0.58353652 -0.58512776 ...  0.07691574  0.07167082
  0.06953613]",[1. 1. 1. ... 1. 1. 1.],"[ 23.00002891  23.00007372  22.99992527 ... 921.37139461 923.2039659
 925.03837153]","[ -2.00000899  -1.99991492  -1.99848424 ... 289.23568194 289.86735231
 290.50960682]",[0.71603696 0.71495859 0.71388056 ... 0.17653947 0.17445485 0.17243637],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
P19,S2,V2,E1,02042014,3.2985853796589852e+16,[0. 4. 4. ... 4. 4. 4.],[0.09754893 0.09667433 0.09580966 ... 0.03322373 0.03331486 0.03337164],1848409391428485.5,[0.27093775 0.26855698 0.26617882 ... 0.074061   0.07406491 0.07405974],"[[ 0.  7. 12. 12. 15.]
 [ 2.  0. 20.  0.  0.]
 [17. 14.  0.  0.  1.]
 [14.  0.  0.  0.  0.]
 [12.  1.  0.  2.  0.]]",[1.38032404 1.37802514 1.3757796  ... 0.23377358 0.22919339 0.22230016],[1. 1. 1. ... 0. 0. 0.],[0.38636748 0.38151482 0.37718942 ... 0.24926061 0.2447525  0.24065241],[0. 0. 0. ... 1. 1. 1.],"[-17.99994127 -17.99988189 -17.99858905 ... 876.55873856 877.35348746
 878.20737584]","[ 64.9999893   65.00007777  65.00149116 ... 296.92143315 296.87411048
 296.80503209]",[0.75228215 0.75011954 0.74791464 ... 0.79983276 0.79959571 0.79938957],[0. 0. 0. ... 0. 0. 0.],[0. 1. 1. ... 2. 2. 2.],[0. 0. 0. ... 1. 1. 1.]
P25,S1,V2,E2,28032014,5810401408754742.0,[0. 0. 0. ... 4. 4. 4.],[0.10828604 0.10846078 0.10862617 ... 0.05246161 0.0523576  0.05225132],1073297290417115.4,[0.00897481 0.00890912 0.00884242 ... 0.10452013 0.10450487 0.10448237],"[[ 0.  0. 12. 11.  4.]
 [ 2.  0. 16.  0.  0.]
 [10. 18.  0.  0.  0.]
 [10.  0.  0.  0.  1.]
 [ 4.  0.  0.  0.  0.]]","[-0.16631105 -0.16711482 -0.16726059 ... -0.30967922 -0.30752337
 -0.30444247]",[0. 0. 0. ... 0. 0. 0.],[0.13217989 0.14204772 0.15153843 ... 0.73282257 0.73341475 0.73450122],[0. 0. 0. ... 1. 1. 1.],"[-14.99997648 -14.99993337 -15.00006454 ... 908.02316241 908.05401656
 908.09652686]","[-23.99999055 -23.99997527 -24.00002493 ... 288.49774461 288.65946956
 288.83494598]",[0.44864187 0.45322188 0.45800339 ... 0.29090518 0.28922734 0.28740263],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 0. 0. 0.]
